,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage
165,721639,721639-nabidka-pronajem-bytu-na-sypkem-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 34 m², Na Sypkém, Praha, Praha","Na Sypkém, Praha - Libeň",34,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 4 m²']",13800,3200,CZK,,False,False,False,,13800,False,,False,[],[],Advert,13608109,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/721k/721639/1654695948-ugoptmoosp-phpsfhbvr.jpg,Image,50.11559,14.47462,GPSPoint,,,,,MortgageData,,,
166,790654,790654-nabidka-pronajem-bytu-pod-haltyrem-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 48 m², Pod Haltýřem, Hlavní město Praha","Pod Haltýřem, Praha - Kunratice",48,,"['MHD 2 minuty pěšky', 'Vybaveno', 'Výtah', 'Garáž', 'Balkón 4 m²']",16000,4000,CZK,False,True,False,False,,16000,False,,False,[],[],Advert,16657513,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790654/1688209968-hvcikmfvkk-phpa3p5ic.jpg,Image,50.02109,14.46425,GPSPoint,,,,,MortgageData,,,
167,439685,439685-nabidka-pronajem-bytu-maceskova-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 20 m², Macešková, Praha, Praha","Macešková, Praha - Záběhlice",20,0.0,"['MHD 3 minuty pěšky', 'Vybaveno']",7500,3900,CZK,,True,False,False,,7500,False,,False,[],[],Advert,3087175,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/439k/439685/1472827845-hlumd-pokoj2.JPG,Image,50.0584143,14.5052871,GPSPoint,,,,,MortgageData,,,
168,790639,790639-nabidka-pronajem-bytu-nad-primaskou-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 16 m², Nad Primaskou, Praha, Praha","Nad Primaskou, Praha - Strašnice",16,,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Parkování']",8000,1500,CZK,False,False,False,False,,8000,False,,False,[],[],Advert,16657197,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790639/1688198611-nybjohjejt-phppuvrve.jpg,Image,50.07482,14.48915,GPSPoint,,,,,MortgageData,,,
169,790640,790640-nabidka-pronajem-bytu-nad-kajetankou-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 32 m², Nad Kajetánkou, Praha, Praha","Nad Kajetánkou, Praha - Břevnov",32,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Parkování']",15000,2200,CZK,True,False,False,False,,15000,False,,False,"[{'id': '6587', 'previewUrl': 'https://api.bezrealitky.cz/media/video-preview/6587', 'status': 'PROCESSED', '__typename': 'AdvertVideo'}]",[],Advert,16657254,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790640/1688202652-olaxsebtuk-phpsvavxl.jpg,Image,50.08658,14.3754,GPSPoint,,,,,MortgageData,,,
170,789633,789633-nabidka-pronajem-bytu-jankovcova-praha,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 68 m², Jankovcova, Praha","Jankovcova, Praha - Holešovice",68,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 4 m²', 'Terasa 10,4 m²']",16000,5527,CZK,False,False,False,False,,16000,False,,False,[],[],Advert,16581175,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789633/1687699621-sodzkbtcng-phpmxesyn.jpg,Image,50.10539,14.45518,GPSPoint,,,,,MortgageData,,,
171,709035,709035-nabidka-pronajem-bytu-perucka-praha-vinohrady,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 29 m², Perucká, Praha, Praha","Perucká, Praha - Vinohrady",29,0.0,"['Škola 6 minut pěšky', 'Vybaveno', 'Sklep 3,1 m²', 'Terasa 14 m²']",15000,4000,CZK,,False,False,False,,17000,True,,False,[],[],Advert,13404948,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/709k/709035/1646288235-iwgslxgtnz.jpg,Image,50.0684925,14.438051,GPSPoint,,,,,MortgageData,,,
172,786967,786967-nabidka-pronajem-bytu-famfulikova-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 43 m², Famfulíkova, Praha, Praha","Famfulíkova, Praha - Kobylisy",43,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Lodžie 7 m²']",16000,3300,CZK,False,False,False,False,,16000,False,,False,[],[],Advert,16414584,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/786k/786967/1686550916-rxbuefmmro-phpfzro9y.jpg,Image,50.13111,14.4717,GPSPoint,,,,,MortgageData,,,
173,722641,722641-nabidka-pronajem-bytu-pelnarova,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 16 m², Pelnářova, ","Pelnářova, Praha - Kbely",16,,"['MHD 2 minuty pěšky', 'Vybaveno', 'Parkování']",10500,0,CZK,,True,False,False,,10500,False,,False,[],[],Advert,13849636,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/722k/722641/1662966624-avjkmtyhdd-phphckkwg.jpg,Image,50.13577,14.546,GPSPoint,,,,,MortgageData,,,
174,774581,774581-nabidka-pronajem-bytu-namesti-antonina-pecaka-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 20 m², náměstí Antonína Pecáka, Praha","náměstí Antonína Pecáka, Praha - Točná",20,,"['MHD do minuty pěšky', 'Parkování']",10000,3720,CZK,,False,False,False,,10588,False,,False,[],[],Advert,15686192,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/774k/774581/774581-tocna-opkk-mg-8668-hdr.jpg,Image,49.9730074,14.4319932,GPSPoint,,,,,MortgageData,,,
175,512053,512053-nabidka-pronajem-bytu-pod-devinem,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 72 m², Pod Děvínem, Praha, Praha","Pod Děvínem, Praha - Smíchov",72,0.0,"['MHD do minuty pěšky', 'Částečně vybaveno']",16000,8000,CZK,,False,True,False,,16000,False,,False,[],[],Advert,4111373,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/512k/512053/1521646677-fnzpd-cimg8568.jpg,Image,50.0578985,14.4029098,GPSPoint,,,,,MortgageData,,,
176,789179,789179-nabidka-pronajem-bytu-nad-prehradou-praha,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 42 m², Nad Přehradou, Praha, Praha","Nad Přehradou, Praha - Horní Měcholupy",42,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Parkování', 'Balkón 4 m²', 'Sklep 6 m²']",13000,3301,CZK,False,False,False,False,,13000,False,,False,[],[],Advert,16549318,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789179/1687367625-hjxmvgkxwk-phpzqfcdw.jpg,Image,50.04245,14.55154,GPSPoint,,,,,MortgageData,,,
177,788611,788611-nabidka-pronajem-bytu-ve-struhach-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 39 m², Ve Struhách, Praha, Praha","Ve Struhách, Praha - Bubeneč",39,0.0,"['MHD 3 minuty pěšky', 'Částečně vybaveno', 'Terasa 16 m²']",12500,2500,CZK,,False,False,False,,12500,False,,False,[],[],Advert,16591469,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788611/1687773875-giduiaczgj-phpmhm0rr.jpg,Image,50.1093304,14.3994934,GPSPoint,,,,,MortgageData,,,
178,788591,788591-nabidka-pronajem-bytu-kalisnicka-praha,BYT,PRONAJEM,GARSONIERA,"Pronájem bytu Garsoniéra 35 m², Kališnická, Praha, Praha","Kališnická, Praha - Žižkov",35,,"['MHD 2 minuty pěšky', 'Vybaveno', 'Výtah', 'Garáž', 'Balkón 6,5 m²']",17000,4000,CZK,False,False,False,False,,17000,False,,False,[],[],Advert,16506194,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788591/1687106199-rbdjzrpcic-phprsmlpo.jpg,Image,50.08994,14.4638,GPSPoint,,,,,MortgageData,,,
179,62955,62955-nabidka-pronajem-bytu-moulikova,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 35 m², Moulikova, Praha, Praha","Moulikova, Praha - Smíchov",35,,"['MHD 1 minuta pěšky', 'Částečně vybaveno']",16000,3000,CZK,,False,False,False,,16000,False,,False,[],[],Advert,13953365,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/62k/62955/1664210715-mfwwqtwtoo-phpuc1pgp.jpg,Image,50.0603164,14.4101868,GPSPoint,,,,,MortgageData,,,
180,634803,634803-nabidka-pronajem-bytu-nadrazni-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 28 m², Nádražní, Praha, Praha","Nádražní, Praha - Smíchov",28,0.0,"['MHD 1 minuta pěšky', 'Výtah']",15387,3013,CZK,,True,False,False,,11933,False,,False,"[{'id': '6575', 'previewUrl': 'https://api.bezrealitky.cz/media/video-preview/6575', 'status': 'PROCESSED', '__typename': 'AdvertVideo'}]",[],Advert,16595568,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/634k/634803/1687792179-xzhbfnnjwn-phpohonp0.jpg,Image,50.07024,14.404823,GPSPoint,,,,,MortgageData,,,
181,788619,788619-nabidka-pronajem-bytu-semicka-hlavni-mesto-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 40 m², Semická, Praha, Praha","Semická, Praha - Modřany",40,,"['MHD 1 minuta pěšky', 'Výtah', 'Balkón 7 m²']",13600,3500,CZK,False,False,False,False,,13600,False,,False,[],[],Advert,16637092,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788619/1688039484-gcyhgrlqhe-phph3aykz.jpg,Image,49.99828,14.41793,GPSPoint,,,,,MortgageData,,,
