,id,uri,estateType,offerType,disposition,imageAltText,address,surface,surfaceLand,tags,price,charges,currency,petFriendly,reserved,highlighted,roommate,project,originalPrice,isDiscounted,nemoreport,isNew,videos,links,__typename,mainImage.id,mainImage.url,mainImage.__typename,gps.lat,gps.lng,gps.__typename,mortgageData.rateLow,mortgageData.rateHigh,mortgageData.loan,mortgageData.years,mortgageData.__typename,project.id,project.__typename,mainImage,nemoreport.id,nemoreport.status,nemoreport.timeCreated,nemoreport.__typename
457,131517,131517-nabidka-pronajem-bytu-borivojova-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 71 m², Bořivojova, Praha, Praha","Bořivojova, Praha - Žižkov",71,,"['MHD 1 minuta pěšky', 'Vybaveno']",21000,4200,CZK,,False,True,False,,22000,True,,False,[],[],Advert,16564439,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/131k/131517/1687462685-smrlhjiays-phpljv184.jpg,Image,50.0821453,14.4455325,GPSPoint,,,,,MortgageData,,,,,,,
458,790095,790095-nabidka-pronajem-bytu-konevova-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 44 m², Koněvova, Praha, Praha","Koněvova, Praha - Žižkov",44,,['MHD 1 minuta pěšky'],16500,3300,CZK,False,False,False,False,,16500,False,,False,[],[],Advert,16611576,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790095/1687897031-kbbxmoxlzn-phpuvibit.jpg,Image,50.09084,14.47161,GPSPoint,,,,,MortgageData,,,,,,,
459,790048,790048-nabidka-pronajem-bytu-za-zelenou-liskou-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 50 m², Za Zelenou Liškou, Praha, Praha","Za Zelenou Liškou, Praha - Krč",50,,"['MHD 2 minuty pěšky', 'Částečně vybaveno']",18232,4768,CZK,False,True,False,False,,18232,False,,False,[],[],Advert,16609794,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790048/1687880016-icwssxqgah-phpyl2ear.jpg,Image,50.04675,14.44458,GPSPoint,,,,,MortgageData,,,,,,,
460,790082,790082-nabidka-pronajem-bytu-u-pergamenky-praha,BYT,PRONAJEM,DISP_1_KK,"Pronájem bytu 1+kk 36 m², U Pergamenky, Praha, Praha","U Pergamenky, Praha - Holešovice",36,,"['MHD do minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Balkón 5 m²']",16000,3500,CZK,False,False,False,False,,16000,False,,False,[],[],Advert,16611278,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790082/1687893474-snwshqdomi-phpbf1krg.jpg,Image,50.11089,14.44707,GPSPoint,,,,,MortgageData,,,,,,,
461,695430,695430-nabidka-pronajem-bytu-frydlantska-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 44 m², Frýdlantská, Praha, Praha","Frýdlantská, Praha - Kobylisy",44,0.0,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Balkón 6 m²', 'Sklep 2 m²']",15500,5500,CZK,,False,True,False,,15500,False,,False,[],[],Advert,13185616,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/695k/695430/1638886543-kapbthhjbx.jpg,Image,50.13229,14.47708,GPSPoint,,,,,MortgageData,,,,,,,
462,790075,790075-nabidka-pronajem-bytu-pod-stupni-praha,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 40 m², Pod Stupni, Praha, Praha","Pod Stupni, Praha - Vršovice",40,,"['MHD 3 minuty pěšky', 'Vybaveno']",18000,4980,CZK,False,False,False,False,,18000,False,,False,[],[],Advert,16611010,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790075/1687891045-opcireiowb-phpftc6lx.jpg,Image,50.06852,14.45241,GPSPoint,,,,,MortgageData,,,,,,,
463,588580,588580-nabidka-pronajem-bytu-boleslavova-praha-4,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 40 m², Boleslavova, Praha, Praha","Boleslavova, Praha - Nusle",40,0.0,"['MHD 1 minuta pěšky', 'Vybaveno']",16000,3000,CZK,,False,False,False,,16000,False,,False,[],[],Advert,6398934,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/588k/588580/1577878972-iwbnrnuiky.jpg,Image,50.064228,14.439752,GPSPoint,,,,,MortgageData,,,,,,,
464,789850,789850-nabidka-pronajem-bytu-krizikova-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 50 m², Křižíkova, Praha, Praha","Křižíkova, Praha - Karlín",50,,"['MHD 4 minuty pěšky', 'Částečně vybaveno']",18000,4000,CZK,True,False,False,False,,18000,False,,False,[],[],Advert,16595808,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/789k/789850/1687796239-kfcrdktxfi-phpsaohp2.jpg,Image,50.09368,14.45589,GPSPoint,,,,,MortgageData,,,,,,,
465,769184,769184-nabidka-pronajem-bytu-kovarska-praha,BYT,PRONAJEM,DISP_3_KK,"Pronájem bytu 3+kk 77 m², Kovářská, Praha, Praha","Kovářská, Praha - Libeň",77,,"['MHD 2 minuty pěšky', 'Vybaveno', 'Výtah', 'Parkování']",29500,7500,CZK,True,False,False,False,,34900,True,,False,[],[],Advert,15409483,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/769k/769184/1678034771-midfctskzw-phpugyjpl.jpg,Image,50.10694,14.49089,GPSPoint,,,,,MortgageData,,,,,,,
466,786536,786536-nabidka-pronajem-bytu-lucemburska-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 109 m², Lucemburská, Praha, Praha","Lucemburská, Praha - Žižkov",109,,"['MHD 3 minuty pěšky', 'Vybaveno', 'Výtah', 'Balkón 2 m²', 'Terasa 45 m²']",38000,5880,CZK,False,False,False,False,,39500,True,,False,[],[],Advert,16391812,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/786k/786536/1686163758-pqfuszgqpg-phpavq8jx.jpg,Image,50.07956,14.45819,GPSPoint,,,,,MortgageData,,,,,,,
467,644756,644756-nabidka-pronajem-bytu-pod-kavalirkou-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 48 m², Pod Kavalírkou, Praha, Praha","Pod Kavalírkou, Praha - Košíře",48,0.0,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Výtah', 'Sklep 2 m²']",16000,4500,CZK,,True,False,False,,15500,False,,False,[],[],Advert,12326129,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/644k/644756/1609618708-nwhrkwvsjq.jpg,Image,50.069319,14.372789,GPSPoint,,,,,MortgageData,,,,,,,
468,531830,531830-nabidka-pronajem-bytu-brdlikova-praha,BYT,PRONAJEM,DISP_3_KK,"Pronájem bytu 3+kk 80 m², Brdlíkova, Praha, Praha","Brdlíkova, Praha - Motol",80,0.0,"['MHD 4 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Balkón 3 m²', 'Sklep 3 m²']",26990,3000,CZK,,False,False,False,,26990,False,,False,[],[],Advert,13420167,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/531k/531830/1646867967-mngcthktqs.jpg,Image,50.0712705,14.3510467,GPSPoint,,,,,MortgageData,,,,,,,
469,790012,790012-nabidka-pronajem-bytu-cajkovskeho-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 46 m², Čajkovského, Praha, Praha","Čajkovského, Praha - Žižkov",46,0.0,"['MHD 2 minuty pěšky', 'Vybaveno', 'Výtah', 'Sklep 3 m²']",19900,5000,CZK,,False,False,False,,21900,True,,False,[],[],Advert,16608359,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790012/1609757557-aqjzcuzvax.jpg,Image,50.083126,14.452122,GPSPoint,,,,,MortgageData,,,,,,,
470,790005,790005-nabidka-pronajem-bytu-spojovaci-hlavni-mesto-praha,BYT,PRONAJEM,DISP_3_KK,"Pronájem bytu 3+kk 60 m², Spojovací, Praha, Praha","Spojovací, Praha - Žižkov",60,,"['MHD 2 minuty pěšky', 'Částečně vybaveno', 'Parkování']",22000,4000,CZK,False,False,False,False,,22000,False,,False,[],[],Advert,16608191,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790005/1687868638-jtclgxlpxd-php54haqp.jpg,Image,50.0943482,14.4960887,GPSPoint,,,,,MortgageData,,,,,,,
471,508804,508804-nabidka-pronajem-bytu-vykanska,BYT,PRONAJEM,DISP_1_1,"Pronájem bytu 1+1 32 m², Vykáňská, Praha, Praha","Vykáňská, Praha - Strašnice",32,0.0,"['MHD 1 minuta pěšky', 'Částečně vybaveno', 'Balkón 4 m²']",12500,3500,CZK,,False,False,False,,12500,False,,False,[],[],Advert,4050136,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/508k/508804/1518992529-zxhpk-img-6911.jpg,Image,50.0782191,14.5043979,GPSPoint,,,,,MortgageData,,,,,,,
472,790001,790001-nabidka-pronajem-bytu-na-spojce-hlavni-mesto-praha,BYT,PRONAJEM,DISP_2_1,"Pronájem bytu 2+1 48 m², Na Spojce, Praha, Praha","Na Spojce, Praha - Vršovice",48,,"['MHD 1 minuta pěšky', 'Vybaveno', 'Výtah']",22500,4500,CZK,False,False,False,False,,22500,False,,False,[],[],Advert,16607964,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/790k/790001/1687866720-ykrhymnbft-phpiknvqr.jpg,Image,50.06809,14.45674,GPSPoint,,,,,MortgageData,,,,,,,
473,788466,788466-nabidka-pronajem-bytu-drnovska-praha,BYT,PRONAJEM,DISP_2_KK,"Pronájem bytu 2+kk 55 m², Drnovská, Praha, Praha","Drnovská, Praha - Ruzyně",55,,"['MHD 4 minuty pěšky', 'Částečně vybaveno', 'Výtah', 'Garáž', 'Lodžie 6,4 m²']",21900,7000,CZK,True,True,False,False,,23000,True,,False,[],"[{'id': '74', 'url': 'https://youtu.be/6xaYU6ZsC2Q', 'type': 'VIDEO', 'status': 'APPROVED', '__typename': 'AdvertLink'}]",Advert,16502239,https://api.bezrealitky.cz/media/cache/record_thumb/data/images/advert/788k/788466/1686953109-whjypztyub-phppyajme.jpg,Image,50.09181,14.29914,GPSPoint,,,,,MortgageData,,,,,,,
